ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
PTBCP0AM0015;BCP;BANCO COMERCIAL PORT;Banken;Geldinstitute;Portugal;02.08.2024;EUR;0.36;8.38;neutral;6.15;0.4;-31;313;30.39%;mittel;positiv;leicht unterbewertet;negativ;5.52%;STOXX600;5.1;2.70%;14%;31%;6%;143%;3;negativ;5581;822;15%;0.13;6%;5.91%;NULL;0
ES0113860A34;SAB;BANCO DE SABADELL;Banken;Geldinstitute;Spanien;02.08.2024;EUR;1.77;8.17;eher positive;10.76;2.14;-67;321;58.67%;niedrig;negativ;leicht unterbewertet;negativ;-0.41%;STOXX600;6.3;3.70%;9%;24%;6%;230%;2;negativ;10468;1217;12%;0.22;13%;4.45%;16.58%;274
ES0113900J37;SAN;BANCO SANTANDER;Banken;Geldinstitute;Spanien;02.08.2024;EUR;4.05;5.13;neutral;71.34;4.66;31;169;7.13%;mittel;negativ;leicht unterbewertet;negativ;-3.79%;STOXX600;5;5.40%;12%;23%;5%;158%;1;negativ;126543;11076;9%;0.34;16%;7.04%;11.27%;2261
IE00BD1RP616;BIRG;BANK OF IRELAND;Banken;Geldinstitute;Irland;02.08.2024;EUR;9.16;7.17;neutral;10.73;10.71;30;294;11.51%;mittel;positiv;leicht unterbewertet;negativ;-2.32%;STOXX600;5.7;4.40%;13%;28%;7%;134%;2;negativ;8952;1526;17%;0.37;9%;5.75%;20.10%;225
PLPEKAO00016;PEO;BANK PKA.KASA OPIEKI SA;Banken;Geldinstitute;Polen;02.08.2024;PLN;151.5;11.46;neutral;10.34;174.42;24;238;-0.36%;mittel;negativ;stark unterbewertet;negativ;-7.88%;STOXX600;7.4;0.20%;22%;45%;10%;76%;1;NULL;22163;6578;30%;0.15;5%;7.25%;32.54%;1422
ES0113679I37;BKT;BANKINTER SA;Banken;Geldinstitute;Spanien;02.08.2024;EUR;7.21;7.07;eher positive;7.42;8.42;-67;247;24.47%;niedrig;positiv;stark unterbewertet;negativ;-3.04%;STOXX600;7.4;2.70%;16%;38%;5%;102%;2;negativ;4578;845;18%;0.26;10%;4.05%;20.25%;406
CH0531751755;BCVN;BANQUE CANT VAUDOISE;Banken;Geldinstitute;Schweiz ;02.08.2024;CHF;91.4;4.88;neutral;9.21;98.65;-24;178;-15.76%;mittel;positiv;fairer Preis;negativ;-0.93%;STOXX600;17.9;7.70%;12%;39%;7%;41%;2;negativ;1597;469;29%;0.34;13%;2.71%;33.95%;327
GB0031348658;BARC;BARCLAYS;Banken;Geldinstitute;Grossbritannien ;02.08.2024;GBp;209.1;4.21;neutral;41.77;236.17;33;148;35.97%;mittel;negativ;leicht unterbewertet;negativ;1.77%;STOXX600;4.3;12.80%;7%;28%;4%;249%;2;negativ;51336;4274;8%;2.01;8%;3.47%;11.80%;2259
GB0000811801;BDEV;BARRATT DEVELOPMENTS;Eigenheimbau;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;523.6;3.33;neutral;6.63;556.91;21;178;-6.93%;mittel;negativ;stark unterbewertet;positiv;12.12%;STOXX600;14;17.30%;9%;17%;70%;140%;3;negativ;5321;530;10%;4.62;5%;66.40%;10.51%;360
CH0009002962;BARN;BARRY CALLEBAUT;Nahrungsmittel;Nahrungsmittel & Getränke;Schweiz ;02.08.2024;CHF;1425;2.1;neutral;8.91;1585.17;-34;206;0.42%;mittel;positiv;stark unterbewertet;negativ;-3.82%;STOXX600;15.2;15.50%;15%;8%;34%;34%;2;neutral;8471;444;5%;1.32;13%;99.38%;8.06%;154
DE000BASF111;BAS;BASF;Grundchemikalien;Chemie;Deutschland;02.08.2024;EUR;41.77;8.14;neutral;40.93;47.07;59;167;-14.37%;mittel;negativ;leicht unterbewertet;negativ;-4.04%;STOXX600;9.6;12.90%;1%;6%;44%;81%;1;positiv;68902;225;0%;1.98;23%;86.21%;5.84%;3034
AT0000BAWAG2;BG;BAWAG GROUP;Banken;Geldinstitute;Oesterreich;02.08.2024;EUR;63.45;8.4;neutral;5.66;69.37;-1;165;32.24%;mittel;positiv;leicht unterbewertet;positiv;5.14%;STOXX600;5.7;8.50%;16%;29%;8%;111%;4;negativ;3143;683;22%;0.04;26%;5.67%;23.77%;305
DE000BAY0017;BAYN;BAYER;Pharmaka;Gesundheitswesen;Deutschland;02.08.2024;EUR;27.36;0.4;eher negative;29.03;23.34;77;342;-18.66%;hoch;negativ;leicht überbewertet;positiv;8.36%;STOXX600;5;2.50%;-9%;17%;27%;100%;2;positiv;47637;-2941;-6%;1.26;31%;38.62%;2.08%;2358
NL0012866412;BESI;BE SEMICONDUCTOR INDUSTRIES;Halbleiter;Technologie;Holland;02.08.2024;EUR;104.4;3.13;neutral;10.07;145.87;5;348;-23.49%;mittel;negativ;leicht unterbewertet;negativ;-30.71%;STOXX600;18.1;34.80%;42%;39%;47%;4%;1;negativ;579;177;31%;5.02;35%;64.57%;32.68%;222
GB00BYQ0JC66;BEZ;BEAZLEY;Sachversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;642.5;2.39;eher positive;5.41;743.54;-54;243;23.08%;niedrig;negativ;leicht unterbewertet;negativ;1.33%;STOXX600;5.4;6.50%;27%;28%;35%;88%;2;neutral;3659;826;23%;0.15;5%;41.51%;NULL;87
DE0005158703;BC8;BECHTLE;Informatik Dienstleister;Technologie;Deutschland;02.08.2024;EUR;40.1;1.9;neutral;5.57;44.06;5;218;-11.65%;mittel;negativ;fairer Preis;negativ;-1.88%;STOXX600;16.4;12.10%;15%;6%;44%;30%;1;negativ;6423;266;4%;1.86;17%;163.46%;6.11%;82
DE0005200000;BEI;BEIERSDORF;Produkte für den privaten Bedarf;Privat- & Haushaltswaren;Deutschland;02.08.2024;EUR;131.25;0.76;eher negative;31.84;124.69;-44;174;-3.28%;mittel;positiv;leicht überbewertet;negativ;-1.36%;STOXX600;24.2;18.00%;9%;12%;65%;27%;1;negativ;9447;736;8%;1.74;1%;73.86%;10.84%;159
SE0015949748;BEIJB;BEIJER REF AB;Elektrische Komponenten;Industrie;Schweden ;02.08.2024;SEK;157.5;1;neutral;7.86;143.44;63;269;16.75%;mittel;positiv;leicht überbewertet;negativ;-3.27%;STOXX600;25.5;18.90%;11%;10%;54%;33%;1;negativ;32150;2375;7%;2.15;20%;82.08%;10.08%;477
CH1101098163;BEAN;BELIMO HOLDING AG;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweiz ;02.08.2024;CHF;515;1.9;neutral;7.52;440.89;20;163;11.04%;mittel;positiv;tark überbewertet;positiv;19.60%;STOXX600;33.1;21.40%;26%;17%;78%;9%;3;neutral;859;137;16%;3.44;2%;125.80%;20.12%;105
GB0000904986;BWY;BELLWAY;Eigenheimbau;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;2770;2.25;neutral;4.3;2966.58;-1;150;7.87%;mittel;negativ;stark unterbewertet;positiv;10.93%;STOXX600;14.6;20.70%;11%;16%;68%;130%;3;negativ;3407;365;11%;5.01;5%;66.61%;10.89%;172
GB00BLJNXL82;BKG;BERKELEY GROUP HDG.PLC.;Eigenheimbau;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;5030;5.07;neutral;6.84;5359.95;-11;151;7.30%;mittel;negativ;leicht unterbewertet;positiv;10.91%;STOXX600;15.3;6.70%;14%;21%;49%;70%;3;negativ;2550;466;18%;3.43;10%;37.18%;18.46%;99
GB0002869419;BYG;BIG YELLOW GROUP;Immobilien Investments;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;1216;3.88;eher positive;3.04;1338.04;21;199;-0.49%;mittel;positiv;fairer Preis;positiv;6.67%;STOXX600;19;12.20%;10%;68%;84%;118%;4;neutral;200;240;120%;0.36;14%;6.86%;121.45%;85
FR0013280286;BIM;BIOMERIEUX;Medizinische Geräte;Gesundheitswesen;Frankreich;02.08.2024;EUR;97.4;0.99;neutral;12.56;104.1;-17;198;-3.18%;mittel;negativ;fairer Preis;positiv;11.14%;STOXX600;19.1;17.70%;10%;15%;71%;32%;3;positiv;3675;358;10%;2.03;7%;69.87%;20.30%;100
CH0130293662;BKW;BKW;Strom Alternativ;Versorger;Schweiz ;02.08.2024;CHF;158.6;2.42;eher positive;9.62;166.94;-45;202;6.09%;mittel;positiv;leicht unterbewertet;positiv;10.59%;STOXX600;11.7;11.10%;10%;16%;42%;58%;4;positiv;4433;478;11%;1.29;14%;39.92%;17.10%;214
DE0005190003;BMW;BMW;Fahrzeugbau;Automobile & Zubehör;Deutschland;02.08.2024;EUR;82.06;6.97;neutral;57.16;93.75;43;195;-18.58%;mittel;negativ;leicht unterbewertet;negativ;-4.21%;STOXX600;5.2;1.80%;13%;12%;34%;154%;1;negativ;155498;11290;7%;1.09;19%;58.82%;13.03%;5430
FR0000131104;BNP;BNP PARIBAS;Banken;Geldinstitute;Frankreich;02.08.2024;EUR;59.66;8.33;neutral;75.24;67.33;58;151;-4.68%;mittel;negativ;leicht unterbewertet;negativ;-0.01%;STOXX600;5.3;8.30%;8%;16%;5%;172%;2;negativ;138164;10298;7%;0.65;15%;5.33%;11.97%;NULL
SE0020050417;BOL;BOLIDEN AB;Minen;Rohstoffe;Schweden ;02.08.2024;SEK;311.3;3.27;neutral;8.13;361.53;30;213;-1.02%;mittel;negativ;leicht unterbewertet;negativ;-4.99%;STOXX600;8.4;12.40%;11%;11%;55%;66%;1;negativ;78554;6073;8%;1.8;11%;77.05%;15.68%;7248
FR0000039299;BOL;BOLLORE;Transportwesen;Industrie;Frankreich;02.08.2024;EUR;5.46;1.28;neutral;17.21;6.04;2;148;-3.45%;mittel;negativ;leicht unterbewertet;negativ;0.67%;STOXX600;37;80.70%;1%;5%;36%;144%;2;negativ;13680;269;2%;1.02;9%;21.63%;6.63%;170
FR0000120503;EN;BOUYGUES;Anlagenbau;Baugewerbe & Werkstoffe;Frankreich;02.08.2024;EUR;31.27;6.17;neutral;12.81;34.38;-7;162;-8.35%;mittel;negativ;leicht unterbewertet;negativ;4.31%;STOXX600;8.2;11.40%;8%;4%;20%;96%;2;neutral;56017;1040;2%;0.95;22%;92.22%;7.06%;671
GB0007980591;BP.;BP;Öl & Gas Produzenten;Energie;Grossbritannien ;02.08.2024;GBp;444.8;5.68;eher positive;94.29;503.72;-62;189;-4.58%;niedrig;negativ;leicht unterbewertet;negativ;-5.68%;STOXX600;6.8;7.30%;22%;15%;25%;70%;1;negativ;169044;12259;7%;1.21;20%;76.88%;14.83%;3869
IT0000066123;BPE;BPER BANCA;Banken;Geldinstitute;Italien;02.08.2024;EUR;4.89;9.01;eher negative;7.86;4.25;-30;304;61.57%;mittel;negativ;tark überbewertet;negativ;2.97%;STOXX600;6.1;-1.40%;16%;22%;6%;215%;1;negativ;7523;1519;20%;37.39;14%;5.29%;NULL;NULL
DE000A1DAHH0;BNR;BRENNTAG;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;65.82;3.45;neutral;10.01;70.45;-7;237;-20.91%;mittel;negativ;stark unterbewertet;negativ;6.70%;STOXX600;11.3;10.30%;17%;6%;41%;37%;2;positiv;16815;715;4%;1.57;20%;160.14%;6.53%;305
GB0002875804;BATS;BRITISH AMERICAN TOBACCO;Tabak;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;2788;8.7;neutral;78.87;2892.55;-44;181;21.46%;mittel;negativ;leicht unterbewertet;positiv;17.15%;STOXX600;7;5.60%;-27%;47%;44%;103%;3;negativ;27334;-14412;-53%;0.91;30%;23.02%;-49.57%;5055
GB0001367019;BLND;BRITISH LAND;Immobilien Investments;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;405.8;5.66;eher positive;4.86;462.2;-13;235;1.55%;mittel;positiv;stark unterbewertet;negativ;2.21%;STOXX600;13.1;8.20%;0%;67%;66%;145%;3;neutral;576;-1;0%;NULL;28%;7.22%;NULL;213
GB00B0N8QD54;BVIC;BRITVIC;Erfrischungsgetränke;Nahrungsmittel & Getränke;Grossbritannien ;02.08.2024;GBp;1268;2.82;eher positive;3.98;1331.4;-57;177;50.86%;niedrig;negativ;fairer Preis;positiv;9.38%;STOXX600;16;12.20%;32%;10%;21%;18%;3;neutral;1749;124;7%;0.96;32%;92.13%;11.12%;76
IT0004764699;BC;BRUNELLO CUCINELLI;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Italien;02.08.2024;EUR;82.9;1.28;eher negative;6.27;76.98;46;220;-6.43%;mittel;positiv;leicht überbewertet;negativ;-7.04%;STOXX600;34.4;23.80%;26%;18%;32%;7%;1;negativ;1139;115;10%;1.24;35%;82.57%;22.23%;53
GB0030913577;BT.A;BT GROUP;Integrale Telekommunikation;Telekommunikation;Grossbritannien ;02.08.2024;GBp;138.2;5.99;eher positive;17.24;155.81;-14;226;11.81%;mittel;negativ;stark unterbewertet;positiv;3.32%;STOXX600;7.7;3.70%;7%;16%;24%;115%;3;positiv;20835;855;4%;0.89;41%;40.27%;30.01%;759
CH0002432174;BUCN;BUCHER INDUSTRIES;Gewerbefahrzeuge;Industrie;Schweiz ;02.08.2024;CHF;341;3.86;neutral;4.18;328.21;27;139;-3.45%;mittel;positiv;fairer Preis;negativ;-1.66%;STOXX600;12.3;5.60%;20%;12%;61%;50%;2;negativ;3575;352;10%;2.1;1%;120.84%;12.26%;133
GB00B0744B38;BNZL;BUNZL;Dienstleister für Unternehmen;Industrie;Grossbritannien ;02.08.2024;GBp;3166;2.33;neutral;13.83;3323.88;-30;146;-0.75%;mittel;positiv;leicht überbewertet;positiv;8.16%;STOXX600;14.9;9.10%;18%;7%;33%;28%;3;negativ;11797;526;4%;1.4;22%;131.81%;7.37%;210
GB0031743007;BRBY;BURBERRY GROUP;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;730.2;1.47;eher negative;3.49;693.69;160;221;-48.43%;hoch;negativ;leicht unterbewertet;negativ;-11.29%;STOXX600;15.6;34.40%;24%;15%;34%;27%;1;negativ;2968;270;9%;1.66;37%;88.07%;21.87%;233
FR0006174348;BVI;BUREAU VERITAS;Dienstleister für Unternehmen;Industrie;Frankreich;02.08.2024;EUR;28.06;3.38;neutral;14.07;29.49;-13;129;22.69%;mittel;positiv;leicht unterbewertet;positiv;13.29%;STOXX600;17;12.90%;26%;15%;29%;19%;4;negativ;5868;504;9%;1.7;36%;88.31%;13.55%;396
IT0001347308;BZU;BUZZI;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Italien;02.08.2024;EUR;33.66;2.1;neutral;7.01;38.55;8;198;22.22%;mittel;negativ;stark unterbewertet;negativ;-4.00%;STOXX600;6.5;5.10%;17%;24%;74%;110%;1;neutral;4317;967;22%;3.24;5%;56.69%;28.14%;83
ES0140609019;CABK;CAIXABANK SA;Banken;Geldinstitute;Spanien;02.08.2024;EUR;4.88;8.98;eher positive;40.78;5.71;-60;336;31.05%;niedrig;positiv;leicht unterbewertet;negativ;0.41%;STOXX600;6.6;3.60%;13%;38%;6%;132%;3;negativ;23255;4816;21%;20.85;13%;3.83%;NULL;NULL
FR0000125338;CAP;CAPGEMINI;Informatik Dienstleister;Technologie;Frankreich;02.08.2024;EUR;179.35;2.09;neutral;33.8;197.37;24;126;-4.98%;mittel;negativ;fairer Preis;negativ;-3.20%;STOXX600;13.5;9.50%;16%;12%;42%;32%;1;negativ;22522;1663;7%;1.33;23%;91.18%;10.49%;559
FI4000571013;CGCBV;CARGOTEC CORP;Gewerbefahrzeuge;Industrie;Finnland;02.08.2024;EUR;43.66;3.04;neutral;3.22;48.9;-41;129;38.14%;mittel;negativ;leicht unterbewertet;negativ;-0.68%;STOXX600;14.3;9.20%;20%;11%;40%;61%;1;negativ;4569;347;8%;1.6;16%;104.39%;10.11%;87
DE0005313704;AFX;CARL ZEISS MEDITEC;Medizinische Geräte;Gesundheitswesen;Deutschland;02.08.2024;EUR;62.05;1.71;eher negative;6.18;56.43;80;339;-37.22%;hoch;negativ;stark unterbewertet;negativ;-1.69%;STOXX600;21.2;23.00%;13%;21%;71%;29%;1;positiv;2089;290;14%;3.4;8%;68.89%;17.44%;98
DK0010181759;CARLB;CARLSBERG AS;Brauereien;Nahrungsmittel & Getränke;Dänemark;02.08.2024;DKK;835.4;3.5;eher positive;16.93;949.06;-53;214;-1.35%;niedrig;positiv;stark unterbewertet;negativ;1.09%;STOXX600;12.2;11.60%;-176%;15%;21%;27%;3;neutral;73585;-40788;-55%;0.64;28%;65.80%;-49.89%;3695
FR0000120172;CA;CARREFOUR;Nahrungsmittel;Einzel- & Grosshandel;Frankreich;02.08.2024;EUR;13.87;6.83;neutral;10.02;15.32;-3;215;-16.27%;mittel;negativ;leicht unterbewertet;negativ;5.22%;STOXX600;5.7;10.10%;14%;3%;21%;101%;2;neutral;84908;1659;2%;0.93;23%;151.16%;4.64%;405
SE0000379190;CAST;CASTELLUM;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;137.5;1.71;neutral;5.97;122.88;21;179;-4.05%;mittel;positiv;leicht überbewertet;positiv;8.45%;STOXX600;14.7;8.00%;-17%;61%;42%;95%;3;neutral;9806;-11592;-118%;NULL;43%;6.15%;NULL;973
PLOPTTC00011;OPT;CD PROJEKT;Spielzeuge;Privat- & Haushaltswaren;Polen;02.08.2024;PLN;157.4;0.47;neutral;4.04;134.99;36;324;36.87%;mittel;negativ;leicht überbewertet;positiv;15.92%;STOXX600;71.9;32.50%;20%;36%;92%;21%;2;NULL;1230;481;39%;6.79;1%;47.07%;59.24%;100
ES0105066007;CLNX;CELLNEX TELECOM;Mobile Kommunikation;Telekommunikation;Spanien;02.08.2024;EUR;34.35;0.19;neutral;25.65;30.04;64;203;-3.67%;mittel;positiv;leicht überbewertet;positiv;14.34%;STOXX600;116.8;139.10%;-2%;11%;31%;55%;3;positiv;4049;-297;-7%;0.65;45%;9.13%;56.85%;0
CH0225173167;CMBN;CEMBRA MONEY BANK AG;Spezialfinanz;Finanzdienstleistungen;Schweiz ;02.08.2024;CHF;75.8;5.94;eher positive;2.59;83.02;-39;203;15.55%;mittel;positiv;leicht unterbewertet;positiv;0.87%;STOXX600;9.9;11.30%;13%;39%;15%;65%;3;neutral;591;158;27%;1.2;33%;7.30%;31.41%;116
GB00B033F229;CNA;CENTRICA;Gasversorger;Versorger;Grossbritannien ;02.08.2024;GBp;127.25;4.06;neutral;8.61;137.55;-33;319;-9.53%;mittel;positiv;tark überbewertet;negativ;-3.95%;STOXX600;8.5;-4.30%;101%;51%;18%;51%;1;positiv;26458;3929;15%;1.44;15%;123.83%;16.81%;186
CH0010570767;LISP;CHOC.LINDT &SPRUENGLI AG;Nahrungsmittel;Nahrungsmittel & Getränke;Schweiz ;02.08.2024;CHF;11380;1.37;eher positive;28.9;11949;-80;234;12.78%;niedrig;positiv;leicht überbewertet;positiv;10.73%;STOXX600;33.2;20.20%;16%;16%;53%;44%;3;neutral;5201;671;13%;1.42;13%;64.93%;18.05%;304
CH0012142631;CLN;CLARIANT;Spezialitäten-Chemie;Chemie;Schweiz ;02.08.2024;CHF;12.75;3.52;neutral;4.95;14.75;-9;238;2.66%;mittel;negativ;leicht unterbewertet;negativ;-10.12%;STOXX600;11.1;14.40%;7%;9%;38%;49%;1;positiv;4377;134;3%;1.4;17%;81.86%;8.45%;138
BE0003593044;COFB;COFINIMMO;Immobilien Investments;Finanzdienstleistungen;Belgien;02.08.2024;EUR;61.25;10.12;eher positive;2.51;67.77;13;233;-14.22%;mittel;negativ;stark unterbewertet;positiv;9.82%;STOXX600;10.1;3.50%;-2%;66%;54%;138%;3;neutral;396;-55;-14%;NULL;27%;5.93%;NULL;NULL
DK0060448595;COLOB;COLOPLAST A/S;Medizinische Geräte;Gesundheitswesen;Dänemark;02.08.2024;DKK;898.2;2.45;eher positive;29.27;969.36;-37;260;16.35%;mittel;positiv;fairer Preis;positiv;9.95%;STOXX600;29.4;21.50%;28%;28%;36%;11%;4;positiv;24500;4783;20%;0.61;25%;50.87%;23.89%;4247
CH0360826991;COTN;COMET HOLDING AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;02.08.2024;CHF;313;1.03;neutral;3.15;374.8;11;218;18.02%;mittel;positiv;leicht unterbewertet;negativ;-9.77%;STOXX600;22.7;52.30%;5%;5%;61%;14%;2;positiv;397;15;4%;3.4;19%;82.29%;8.91%;29
DE000CBK1001;CBK;COMMERZBANK;Banken;Geldinstitute;Deutschland;02.08.2024;EUR;13.62;4.64;neutral;18.32;15.73;39;192;26.53%;mittel;negativ;leicht unterbewertet;negativ;-3.68%;STOXX600;5;11.90%;6%;21%;6%;240%;1;negativ;22472;2030;9%;6.12;21%;4.26%;12.46%;250
GB00BD6K4575;CPG;COMPASS GROUP;Restaurants & Bars;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;2361;2.19;neutral;51.67;2449.54;-48;197;10.02%;mittel;negativ;fairer Preis;positiv;12.73%;STOXX600;20.4;15.70%;26%;7%;29%;15%;3;negativ;31028;1314;4%;0.75;17%;176.30%;6.75%;648
GB00BV9FP302;CCC;COMPUTACENTER;Informatik Dienstleister;Technologie;Grossbritannien ;02.08.2024;GBp;2604;2.83;neutral;3.82;2925.35;-42;209;-6.73%;mittel;positiv;leicht unterbewertet;negativ;-7.77%;STOXX600;12.8;9.50%;21%;4%;31%;30%;2;negativ;6923;198;3%;1.26;3%;226.38%;4.02%;77
DE0005439004;CON;CONTINENTAL;Reifen;Automobile & Zubehör;Deutschland;02.08.2024;EUR;53.82;5.31;neutral;12.02;61.85;64;265;-30.03%;mittel;negativ;leicht unterbewertet;negativ;5.03%;STOXX600;4.9;14.70%;8%;3%;36%;89%;2;negativ;41421;1156;3%;1.2;11%;109.72%;8.03%;300
GB00BD3VFW73;CTEC;CONVATEC GROUP;Pharmaka;Gesundheitswesen;Grossbritannien ;02.08.2024;GBp;232;2.28;eher positive;6.06;269.39;-41;225;-5.00%;mittel;negativ;stark unterbewertet;negativ;1.20%;STOXX600;15;15.10%;8%;14%;46%;27%;2;positiv;1724;105;6%;1.62;35%;59.16%;16.11%;89
DE0006062144;1COV;COVESTRO;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;53.94;1.28;eher positive;10.96;59.41;-26;183;2.39%;mittel;positiv;leicht unterbewertet;positiv;1.31%;STOXX600;13.1;151.40%;-3%;2%;47%;66%;4;positiv;14377;-198;-1%;1.77;20%;103.29%;4.69%;3
FR0000064578;COV;COVIVIO;Immobilien Investments;Finanzdienstleistungen;Frankreich;02.08.2024;EUR;48.66;7.05;eher positive;5.85;53.62;16;219;-0.04%;mittel;negativ;stark unterbewertet;positiv;10.12%;STOXX600;11.1;5.60%;-18%;68%;32%;163%;3;neutral;1286;-1419;-110%;NULL;38%;5.14%;-104.62%;73
GB0002318888;CWK;CRANSWICK;Nahrungsmittel;Nahrungsmittel & Getränke;Grossbritannien ;02.08.2024;GBp;4635;2.07;eher positive;3.27;4890.23;-69;186;21.72%;niedrig;positiv;fairer Preis;positiv;7.47%;STOXX600;16.3;10.90%;13%;6%;67%;52%;4;neutral;2323;111;5%;1.72;8%;183.67%;7.98%;36
FR0000045072;ACA;CREDIT AGRICOLE;Banken;Geldinstitute;Frankreich;02.08.2024;EUR;13.19;7.96;neutral;43.29;14.64;42;100;2.59%;mittel;negativ;leicht unterbewertet;negativ;4.21%;STOXX600;6.2;5.20%;9%;22%;3%;176%;2;negativ;84086;5890;7%;0.44;11%;3.84%;8.37%;NULL
GB00BJFFLV09;CRDA;CRODA INTERNATIONAL;Spezialitäten-Chemie;Chemie;Grossbritannien ;02.08.2024;GBp;3972;2.8;neutral;7.06;3673.1;69;218;-21.35%;mittel;negativ;leicht unterbewertet;negativ;2.88%;STOXX600;21.8;16.80%;7%;18%;66%;33%;2;positiv;1695;171;10%;2.84;18%;47.34%;17.54%;151
DE0005470306;EVD;CTS EVENTIM;Freizeit- & Erholungsdienste ;Reisen & Freizeit;Deutschland;02.08.2024;EUR;76.5;2.11;neutral;8.18;70.51;-18;196;22.20%;mittel;negativ;leicht überbewertet;negativ;2.62%;STOXX600;20.8;14.30%;31%;17%;28%;15%;1;negativ;2359;275;12%;1.1;5%;72.92%;14.72%;102
BE0974259880;DIE;D IETEREN GROUP;Spezialisierter Detailhandel;Einzel- & Grosshandel;Belgien;02.08.2024;EUR;203;2.22;eher positive;11.98;230.22;32;322;14.75%;mittel;negativ;stark unterbewertet;negativ;2.95%;STOXX600;10.8;11.80%;15%;5%;48%;37%;2;neutral;7984;505;6%;1.8;18%;110.76%;8.66%;161
DE000DTR0CK8;DTG;DAIMLER TRUCK;Fahrzeugbau;Automobile & Zubehör;Deutschland;02.08.2024;EUR;32.98;6.01;neutral;30.85;38.62;30;191;-3.06%;mittel;negativ;leicht unterbewertet;negativ;-7.53%;STOXX600;6;9.00%;17%;10%;30%;79%;1;negativ;55890;3775;7%;1.65;24%;78.48%;8.78%;1070
FR0000120644;BN;DANONE;Nahrungsmittel;Nahrungsmittel & Getränke;Frankreich;02.08.2024;EUR;61.54;3.59;eher positive;41.7;64.62;-68;159;4.87%;niedrig;negativ;leicht unterbewertet;positiv;9.03%;STOXX600;15.2;10.80%;5%;10%;36%;43%;3;neutral;27581;873;3%;0.93;24%;62.00%;9.01%;1279
DK0010274414;DANSKE;DANSKE BANK;Banken;Geldinstitute;Dänemark;02.08.2024;DKK;199.35;9.28;eher positive;25.55;225.3;-69;183;10.50%;niedrig;positiv;leicht unterbewertet;negativ;1.41%;STOXX600;7.1;5.00%;12%;36%;5%;113%;3;negativ;148030;21262;14%;0.85;23%;3.93%;NULL;6011
GB00BNYK8G86;DARK;DARKTRACE;Informatik Dienstleister;Technologie;Grossbritannien ;02.08.2024;GBP;593.8;0;eher positive;4.85;660.99;-61;231;61.93%;niedrig;negativ;leicht überbewertet;positiv;4.79%;STOXX600;31.5;25.80%;24%;8%;35%;11%;2;negativ;453;49;11%;1.28;7%;76.68%;24.26%;NULL
FR0014004L86;AM;DASSAULT AVIATION;Luftfahrt & Verteidigung;Industrie;Frankreich;02.08.2024;EUR;185.8;2.25;eher positive;15.78;203.51;-53;215;3.68%;niedrig;positiv;leicht unterbewertet;positiv;13.22%;STOXX600;10.3;14.90%;12%;12%;24%;41%;4;negativ;4805;693;14%;1.07;1%;20.46%;18.06%;246
FR0014003TT8;DSY;DASSAULT SYSTEMES;Software;Technologie;Frankreich;02.08.2024;EUR;33.65;0.83;eher negative;50.28;30.77;12;161;-23.93%;mittel;negativ;leicht überbewertet;negativ;0.09%;STOXX600;22.5;15.70%;13%;24%;54%;13%;0;negativ;5951;1051;18%;1.61;18%;40.70%;27.32%;276
NL0015435975;CPR;DAVIDE CAMPARI MILANO;Wein & Spirituosen;Nahrungsmittel & Getränke;Italien;02.08.2024;EUR;8.09;0.89;neutral;10.62;7.79;46;222;-20.76%;mittel;negativ;fairer Preis;negativ;-2.73%;STOXX600;19.6;15.20%;11%;21%;44%;25%;1;neutral;2919;331;11%;1.98;27%;43.72%;15.10%;68
